Well,Por,Perm,AI,Brittle,TOC,VR,Prod
84,13.69,3.86,3.51,69.53,0.6,2.04,4113.145433
85,10.15,1.72,2.97,40.51,0.59,1.76,2734.773959
86,13.45,2.51,3.25,58.3,1.04,2.33,4142.406714
87,15.94,3.82,3.81,37.13,1.36,2.43,4208.174933
88,14.88,4.81,3.3,63.31,0.95,2.03,4519.923344
89,11.12,1.88,3.09,58.97,0.52,1.85,3364.213781
90,13.5,2.66,3.94,36.68,1.17,2.6,3562.635128
91,13.72,4.01,3.41,40.24,0.84,2.18,3806.229207
92,7.38,1.88,2.54,42.24,0.38,1.28,2119.315516
93,20.21,8.33,2.5,23.78,1.47,1.82,4877.71473
94,10.69,2.66,3.49,84.33,0.39,1.97,3591.891958
95,15.75,3.6,2.82,70.68,0.95,2.04,4700.224408
96,17.96,4.26,2.87,49.41,0.92,2.01,5350.949293
97,16.95,4.14,2.3,61.43,1.47,2.05,5278.785405
98,19.73,7.85,2.63,49.91,1.59,2.11,6455.048131
99,11.91,4.48,2.27,47.38,0.84,1.57,3671.944944
100,15.53,5.42,2.64,64.49,1.55,2.1,4948.929165
101,14.44,2.92,2.34,68.76,0.98,1.97,4464.894985
102,13.37,4.66,3.04,52.23,0.86,1.72,4003.874956
103,10.5,3.22,3.69,61.09,0.45,2.17,3376.059883
104,18.9,4.57,2.65,18.63,1.06,1.54,3856.991967
105,17.89,4.22,1.86,34.13,1.75,1.62,4689.43224
106,15.32,3.71,3.29,55.99,1.35,2.42,4748.315024
107,13.48,2.61,2.93,55.3,0.5,1.7,3890.428004
108,17.17,3.82,2.35,38.08,1.43,1.97,4733.965648
109,20.86,6.3,2.53,40.57,2.08,2.43,6480.140811
110,15.19,5.05,3.11,57.97,1.15,2.16,4751.960471
111,14.95,3.29,2.69,75.73,0.58,1.8,4429.601197
112,12.1,5.1,3.97,63.24,0.38,1.93,3695.605482
113,18.24,4.31,2.85,44.53,1.39,2.06,5334.209437
114,19.86,6.82,2.77,45.44,1.33,2.08,6171.948872
115,19.54,5.93,3.23,37.4,0.82,1.8,5188.165252
116,18.37,4.95,2.45,42.26,1.4,2.06,5429.61122
117,12.89,4.26,4.09,66.21,0.81,2.77,4190.949492
118,15.2,3.49,3.2,42.63,1.52,2.23,4321.08436
119,12.23,2.39,3.02,40.67,1.02,1.84,3278.519165
120,17.88,5.58,3.2,49.61,1.23,2.37,5568.129512
121,15.79,4.22,3.01,63.24,0.48,2.07,4761.541276
122,12.38,2.48,2.63,33.48,1.17,1.73,3096.041435
123,18.98,9.78,2.69,46.4,1.11,1.67,5984.91987
124,13.76,3.86,3.46,52.36,0.5,1.89,3987.451637
125,23.55,8.25,1.28,14.24,2.18,1.24,5107.668954
126,14.86,3.9,2.64,60.5,1.33,1.95,4590.775041
127,16.43,5.99,2.62,35.5,1.13,1.72,4394.908724
128,15.86,2.94,2.74,51.49,1.62,2.15,4801.169597
129,12.98,5.26,3.25,60.51,0.93,1.98,4118.586934
130,17.21,4.62,2.79,20.12,1.52,1.93,3762.933398
131,15.34,3.06,2.11,50.65,1.17,1.71,4583.194189
132,17.57,4.44,2.3,44.57,1.46,1.98,5257.439724
133,10.74,1.72,3.33,62.94,0.31,1.89,3258.271193
134,18.79,4.48,3.57,35.74,0.93,2.3,4896.3969
135,12.83,2.69,3.67,17.2,0.61,2.01,2508.507049
136,15.35,4.66,3.07,26.63,1.53,2.05,3655.497757
137,14.88,5.16,3.47,51.29,0.38,1.77,4300.222781
138,14.69,3.63,2.39,62.93,1.04,1.93,4566.400754
139,7.77,1.48,2.8,40.24,0.37,1.43,2107.139414
140,15.87,6.82,3.2,32.82,0.58,1.64,3989.012964
141,18.75,5.16,1.45,58.05,1.37,1.55,5903.37822
142,15.63,4.66,2.85,40.83,0.84,1.7,4260.004869
143,18.06,8,2.6,56.29,1.64,2.18,5996.900444
144,12.05,2.36,3.21,42.36,0.5,1.77,3196.99447
145,14.44,4.53,2.81,65.32,1.16,1.93,4476.367366
146,16.69,5.05,3.44,36.22,1.48,2.52,4605.799987
147,15.8,2.72,3.29,42.13,0.43,1.97,4180.788056
148,16.84,5.1,3.16,60.43,1.6,2.6,5400.374809
149,13.46,4.57,3.04,56.59,0.1,1.53,3950.292582
150,14.63,7.1,3.02,21.47,1.26,1.79,3418.470532
151,12.2,2.92,3.36,28.87,0.82,1.69,2705.868622
152,10.5,2.56,3.11,54.54,0.45,1.82,3219.49199
153,18.68,6.17,2.5,43.35,1.66,1.87,5607.51549
154,16.88,6.62,2.45,65.82,0.63,1.5,5083.318118
155,15.42,4.06,2.8,18.98,1.5,1.93,3341.157722
156,13.01,3.6,2.38,50.41,0.48,1.55,3867.438514
157,17.92,5.37,2.3,57.84,1.33,1.92,5629.970179
158,15.97,3.19,2.63,52.55,1.41,2.09,4859.067707
159,13.32,3.19,2.45,57.86,1.05,1.74,4092.730535
160,18.1,9.58,3.34,56.09,1.02,2.15,5898.169102
161,16.21,4.01,2.77,59.83,1.21,2.32,5085.588965
162,18,5.58,1.71,28.46,1.74,1.49,4470.882859
163,17.86,6.96,2.5,26.22,0.28,0.93,3923.997348
164,11.6,1.73,2.18,53.54,0.6,1.5,3458.846102
165,17.98,4.26,2.94,25.17,0.9,1.86,4013.751035
166,16.61,3.49,1.83,60.13,1.54,1.86,5175.59912
167,19.06,9.49,3.2,55.53,1.57,2.39,6395.708841
168,12.83,3.56,3.15,29.87,1.09,2.09,3182.815944
169,18.96,5.81,2.17,29.28,1.58,1.95,4862.060183
170,11.71,1.88,4.01,44.03,0.04,1.84,2940.975811
171,11.91,5.42,3.83,28.94,0.38,1.78,2791.133133
172,17.44,5.7,3.44,57.33,1.33,2.38,5449.314018
173,10.95,2.23,3.67,47.06,0.12,1.93,3031.432666
174,12.94,2.64,2.88,38.29,1.25,1.94,3460.397749
175,15.72,3.78,2.51,35.09,1.42,1.95,4158.294202
176,14.02,4.48,3.01,62.59,1.04,2.16,4441.251847
177,14.49,4.85,3,22.54,1.08,1.99,3333.963492
178,11.8,2.92,3.64,35.35,0.35,1.76,2819.977847
179,19.29,5,2.82,58.56,1.23,1.97,5880.785643
180,7.22,1.42,3.6,63.09,-0.03,1.67,2362.269336
181,15.7,3,3.41,46.86,0.14,1.93,4290.072266
182,14.48,3.82,3.56,47.44,0.67,2.11,4144.2208
183,9.88,2.72,3.64,55.19,0.52,2.16,3141.540928
184,18.8,6.05,3.23,74.07,1.66,2.54,5692.716924
185,18.07,3.78,2.89,28.67,1.52,2.1,4319.373276
186,15.68,5.37,3.77,57.85,0.72,2.35,4807.05583
187,15.28,3.49,2.29,34.78,1.28,1.61,3899.879873
188,10.88,3.32,4.09,55.09,0.81,2.4,3413.73739
189,16.14,5.05,3.16,38.03,0.97,2.05,4385.713419
190,16.12,4.1,2.42,35.84,1.48,1.84,4291.702607
191,13.52,3.86,3.45,31.57,1.51,2.22,3407.341602
192,6.55,1.13,4.13,56.69,0.28,2.1,2187.774422
193,20.37,6.69,2.37,37.76,1.4,1.99,5899.275409
194,12.92,3.9,3.68,71.4,0.11,1.91,3855.930544
195,17.13,5.99,2.88,51.45,1.77,2.28,5489.491177
196,11.95,3.13,2.97,67.18,0.8,2.06,3847.571003
197,17.99,9.87,3.38,44.32,0.98,2.08,5601.227131
198,12.12,2.27,3.52,57.07,-0.04,1.73,3409.575363
199,15.55,4.48,2.48,58.25,1.89,2.35,5087.592149
200,20.89,7.54,3.23,46.17,1.71,2.27,6662.622385
