Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg/s-m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa"
Well_no_2,4225,3525,3055.79,0.13195,,7048428.636,Shaly sandstone,1.774578241,4339.211973,25.93166867,1683.197792,5.760201926
Well_no_2,4225,3525,3056.29,,,7159022.947,Shaly sandstone,1.854531509,3540.000834,,1578.970687,7.077472861
Well_no_2,4225,3525,3056.79,0.14274,,7274479.991,Shaly sandstone,2.19567253,3231.252113,27.39149125,1763.676449,7.42253952
Well_no_2,4225,3525,3057.29,0.15654,,7292463.327,Shaly sandstone,2.208497467,3482.579873,25.90503291,1785.74178,
Well_no_3,7725,8275,3055.92,,,7279665.002,Sandstone,,,22.18628595,,5.97963375
Well_no_3,7725,8275,3056.42,0.13865,,7282760.121,,2.099587586,3483.745652,23.64403021,1608.893259,6.539248373
Well_no_3,7725,8275,3056.92,0.14321,,7062904.66,Sandstone,1.800475658,3965.350116,32.60810339,1691.501154,4.796213768
Well_no_3,7725,8275,3057.42,0.15489,143.2063824,7161996.766,Sandstone,1.789920781,3679.198598,,1741.546071,6.606055676
Well_no_3,7725,8275,3057.92,0.15449,125.6434827,7376326.213,Sandstone,2.037831024,3937.494988,27.50145371,1740.555505,5.101164239
Well_no_3,7725,8275,3058.42,,,7242941.81,Sandstone,1.952726042,3859.980368,28.9657311,1615.687549,5.35785312
Well_no_3,7725,8275,3058.92,0.0588,,,Shale,,5175.863294,38.09932236,1772.722044,2.799067373
Well_no_3,7725,8275,3059.42,0.06577,,7862608.344,Shale,,3971.482558,38.68620217,1591.900258,4.729970756
Well_no_3,7725,8275,3059.92,0.13237,,7488273.099,Shaly sandstone,2.323401598,2787.594642,24.10749099,1616.579069,8.140303009
Well_no_3,7725,8275,3060.42,0.13166,,7494265.92,,1.789915704,4098.635042,32.16342939,,5.397300274
Well_no_3,7725,8275,3060.92,0.13224,,7247639.69,Shaly sandstone,1.96138661,3825.247508,26.08334722,1669.12862,5.98594847
Well_no_3,7725,8275,3061.42,0.14442,,7223813.876,Shaly sandstone,,4514.923244,,,4.543025257
Well_no_3,7725,8275,3061.92,0.13808,,7208889.983,Shaly sandstone,2.129888845,,24.34611814,1584.499893,6.039278491
Well_no_3,7725,8275,3062.42,0.14484,,7174056.28,,2.03696391,3912.721194,22.74898354,1779.628399,
Well_no_3,7725,8275,3062.92,0.14267,,7064035.727,Sandstone,1.850146681,3690.429928,25.46740342,1620.180945,5.972958552
Well_no_3,7725,8275,3063.42,0.14503,89.4148874,7118049.692,Sandstone,1.797376856,,26.81803253,1554.730412,5.584654415
Well_no_3,7725,8275,3063.92,0.14668,,6967210.076,Sandstone,2.162342016,,18.81807089,1802.391116,7.547009542
Well_no_3,7725,8275,3064.42,0.05132,,7925076.582,,1.803436903,4277.131443,32.78620417,1663.162622,5.647868454
Well_no_3,7725,8275,3064.92,0.04992,,7630241.47,,1.896912292,4412.593565,,1701.460305,5.826465116
Well_no_3,7725,8275,3065.42,0.05008,,7654922.429,Shale,1.788693629,,29.93186482,1737.738376,
Well_no_4,4425,6475,3046.86,0.15903,,6789985.924,Sandstone,1.703893029,,,,4.852793334
Well_no_4,4425,6475,3047.36,0.16175,,,Sandstone,1.593335583,3843.663176,26.70932734,1657.427089,3.312525195
Well_no_4,4425,6475,3047.86,0.16667,,7053326.378,Sandstone,1.936873305,3637.102563,27.39250241,1547.724237,
Well_no_4,4425,6475,3048.36,0.16872,179.491865,7299325.054,Sandstone,1.62626797,4357.381349,,1394.895435,3.846184859
Well_no_4,4425,6475,3048.86,0.17388,,7089724.927,,2.094171833,3300.572726,23.71974712,,6.397139582
Well_no_4,4425,6475,3049.36,0.06704,,7791596.333,Sandy shale,2.763935064,2261.546675,21.73557145,1795.346394,7.977781538
Well_no_4,4425,6475,3049.86,0.1303,,7432723.33,Shaly sandstone,1.732828734,4354.543516,32.00583623,1568.879823,5.4440362
Well_no_4,4425,6475,3050.36,0.12919,,7224658.397,Shaly sandstone,2.233305848,3340.026893,21.63708807,1857.397949,6.259177897
Well_no_4,4425,6475,3050.86,0.14205,,7396983.81,Sandstone,2.064062562,3426.137805,26.54064803,1532.115941,
Well_no_4,4425,6475,3051.36,,,,Sandstone,1.520188058,5021.428819,37.7229208,1663.216061,3.243780089
Well_no_4,4425,6475,3051.86,0.14905,,,,,3028.161094,23.45019254,1804.754735,6.445947971
Well_no_4,4425,6475,3052.36,,,7336735.87,Sandstone,2.047395719,3232.273455,,1777.657754,2.771141628
Well_no_4,4425,6475,3052.86,0.06943,,7832319.705,Sandy shale,,2544.687136,20.14163833,1790.498728,9.219634067
Well_no_4,4425,6475,3053.36,0.12536,,,Shaly sandstone,1.669753135,4288.59994,32.91728806,1614.788074,
Well_no_4,4425,6475,3053.86,0.12906,,7138347.506,Shaly sandstone,2.137753548,4375.635186,23.09108796,,
Well_no_4,4425,6475,3054.36,0.13325,,7344122.374,Shaly sandstone,1.922373316,3814.213395,26.42410517,,4.839976975
Well_no_4,4425,6475,3054.86,,,7208222.458,Sandstone,2.008410456,3884.226507,23.61325098,1642.383741,5.198682545
Well_no_4,4425,6475,3055.36,0.14351,118.0871089,7371247.685,Sandstone,1.592554445,4182.630131,33.47891539,1499.449327,
Well_no_4,4425,6475,3055.86,0.1473,,7257364.085,Sandstone,2.055163728,2695.080791,26.53099254,1765.955664,6.027856208
Well_no_4,4425,6475,3056.36,0.1523,157.2080368,7270247.691,Sandstone,1.690417416,4253.530923,32.24823211,1514.567812,5.649619202
Well_no_5,2125,1225,3055.7,,,7217931.636,Shaly sandstone,1.82999321,3704.206383,31.24283468,1639.521954,4.509239945
Well_no_5,2125,1225,3056.2,0.13171,,7214395.129,Shaly sandstone,1.567194535,4363.476812,33.5065163,,
Well_no_5,2125,1225,3056.7,,,7321059.216,Shaly sandstone,2.12703931,3061.061737,23.46653797,1894.002237,6.048546133
Well_no_5,2125,1225,3057.2,,,,Shaly sandstone,1.876256074,,28.65311064,1644.202468,3.628736979
Well_no_5,2125,1225,3057.7,0.14021,,7450108.406,Shaly sandstone,2.183858938,3528.95906,28.09022477,1989.829247,6.634111691
Well_no_5,2125,1225,3058.2,0.14793,,,Shaly sandstone,2.102587005,3152.606909,22.84054711,,5.122952616
Well_no_5,2125,1225,3058.7,0.15368,142.811635,7273768.729,Sandstone,,3322.924542,26.23108473,1720.369643,6.829779782
Well_no_5,2125,1225,3059.2,0.14976,,7311652.04,,2.10123034,3992.830858,27.26447793,1668.442734,6.819544695
Well_no_5,2125,1225,3059.7,0.15277,,7051251.336,Sandstone,2.228138752,,22.04048352,1640.360793,5.938046566
Well_no_5,2125,1225,3060.2,0.06019,,8213981.426,Shale,1.69420881,4215.360459,39.28699408,1493.082429,4.968439829
Well_no_5,2125,1225,3060.7,0.12353,,7209695.772,Shaly sandstone,1.897471891,3847.220938,27.15523278,1704.588901,5.340993131
Well_no_5,2125,1225,3061.2,0.12062,,7335083.046,Shaly sandstone,1.739744922,3992.258294,28.06939888,1598.532092,4.760438364
Well_no_5,2125,1225,3061.7,0.11954,,7329361.509,Shaly sandstone,2.208525168,3305.635239,24.84154551,1720.892472,5.198050248
Well_no_5,2125,1225,3062.2,,,7409646.014,Shaly sandstone,1.904660205,,28.285845,1668.18579,4.385187843
Well_no_5,2125,1225,3062.7,0.13974,,7155294.908,Shaly sandstone,1.640855153,4023.558496,26.98121143,1768.990458,5.758057571
Well_no_5,2125,1225,3063.2,0.14036,,7203057.606,Shaly sandstone,1.583290546,4624.567031,,1691.451476,4.295266609
Well_no_5,2125,1225,3063.7,0.14108,104.9706551,7215770.521,Shaly sandstone,1.622235815,4133.086126,,1734.091825,4.675086142
Well_no_5,2125,1225,3064.2,0.15133,,7294261.194,Sandstone,2.058004475,3836.492597,26.22254319,1815.715875,4.601592459
Well_no_5,2125,1225,3064.7,0.15298,,7257518.818,Sandstone,2.135520515,3687.907365,,1647.368587,
Well_no_5,2125,1225,3065.2,0.06913,,7780547.545,Shale,1.924676985,3643.583074,,1738.804997,5.207851603
Well_no_6,2675,4525,3048.71,0.16057,86.19059669,7211275.434,Sandstone,2.276308408,3283.975693,22.25326851,1684.953311,7.086494689
Well_no_6,2675,4525,3049.21,0.1543,,7193171.256,Sandstone,1.878439725,3984.13932,,1714.246508,5.926039942
Well_no_6,2675,4525,3049.71,0.16515,,7050658.812,,1.8564883,3781.694654,25.11653627,1695.67032,4.935515008
Well_no_6,2675,4525,3050.21,0.16547,,,Sandstone,2.283537102,3118.483312,19.65923158,,6.483534568
Well_no_6,2675,4525,3050.71,0.06049,,7759853.148,Shale,,5007.755255,35.66549282,1785.190766,3.591885709
Well_no_6,2675,4525,3051.21,0.08837,,7903541.84,Sandy shale,2.533748154,2962.716868,24.41457802,1465.451935,6.998932188
Well_no_6,2675,4525,3051.71,0.06351,,8164686.971,Shale,1.803333136,4252.559513,36.27782981,1759.113116,4.157560728
Well_no_6,2675,4525,3052.21,0.1188,,7287796.416,Shaly sandstone,2.269745485,3016.009308,23.51532257,1902.226867,
Well_no_6,2675,4525,3052.71,0.12196,,7330545.689,Shaly sandstone,,4282.810488,,,2.615646284
Well_no_6,2675,4525,3053.21,0.1284,87.6097026,7014560.564,Shaly sandstone,1.734134418,3730.586332,29.79733231,1779.951233,4.546370894
Well_no_6,2675,4525,3053.71,0.13146,,7386167.868,Shaly sandstone,1.69982085,4143.760626,30.82572968,,6.429989869
Well_no_6,2675,4525,3054.21,0.1405,,7200478.129,Shaly sandstone,1.931771045,,,1617.803574,4.623747328
Well_no_6,2675,4525,3054.71,0.13964,,,Shaly sandstone,2.182803546,2846.856784,25.06708655,1613.257543,5.297311903
Well_no_6,2675,4525,3055.21,0.14907,,7179051.124,Sandstone,1.523597241,4713.327105,,1654.900555,4.25251685
Well_no_6,2675,4525,3055.71,,,7171327.993,Sandstone,1.757370929,4047.556648,28.48752299,1574.843546,
Well_no_6,2675,4525,3056.21,0.07404,,7675772.804,Shale,1.523238364,4536.006688,,1838.757042,5.975332817
Well_no_6,2675,4525,3056.71,0.08765,,7695366.873,Sandy shale,3.22425838,2719.93467,,1620.518892,10.05677834
Well_no_6,2675,4525,3057.21,0.0659,,7762043.621,Shale,,4405.209649,,,3.022668073
Well_no_6,2675,4525,3057.71,0.13677,,7245833.382,Shaly sandstone,1.841240265,4137.573819,,1726.751296,
Well_no_6,2675,4525,3058.21,0.13623,,7226411.998,Shaly sandstone,1.899196571,3951.609012,24.32815372,1590.000591,4.526819424
Well_no_7,6725,8025,3053.65,0.16727,,6953889.575,Sandstone,1.77371374,4053.657114,24.59213199,,3.549549084
Well_no_7,6725,8025,3054.15,0.16937,,6752590.282,Sandstone,2.242420227,2561.876498,19.32565322,1599.947881,5.715957478
Well_no_7,6725,8025,3054.65,0.17424,,7068142.509,Sandstone,1.656617062,4536.382713,28.54121809,,
Well_no_7,6725,8025,3055.15,,304.4786584,7011515.943,Sandstone,,3852.073792,21.73987974,1839.654748,4.698516161
Well_no_7,6725,8025,3055.65,0.07115,,7556219.413,Sandy shale,3.530373008,1921.242894,18.91657497,1777.701299,11.82003768
Well_no_7,6725,8025,3056.15,0.13757,,7699729.443,Shaly sandstone,2.034820658,3767.514886,27.92346731,1547.487628,5.840666043
Well_no_7,6725,8025,3056.65,0.14261,,7361871.884,,2.149218434,2798.615689,26.99387823,,7.069276027
Well_no_7,6725,8025,3057.15,0.14323,,7405789.55,Shaly sandstone,2.198295319,3394.56389,,1511.022928,7.218405771
Well_no_7,6725,8025,3057.65,0.15153,,7282890.52,Sandstone,1.765996539,4315.191847,25.43838762,1567.655984,3.189508666
Well_no_7,6725,8025,3058.15,0.14981,137.7124284,6991970.994,Sandstone,2.416743293,3486.773716,21.64011024,1687.834867,6.487556788
Well_no_7,6725,8025,3058.65,0.07713,15.94709982,7748323.199,Sandy shale,2.945194075,2880.803727,18.95533408,1651.842535,9.384545171
Well_no_7,6725,8025,3059.15,0.06649,,7799389.806,Sandy shale,2.748518781,2763.166905,23.52503056,,
Well_no_7,6725,8025,3059.65,0.13089,,7493231.4,,2.115044807,,27.38752949,1812.05885,6.65399576
Well_no_7,6725,8025,3060.15,0.13271,,7458031.334,Shaly sandstone,,5020.035186,39.49346705,1549.320331,3.043136959
Well_no_7,6725,8025,3060.65,0.13927,,7007143.175,Shaly sandstone,2.177408335,3526.622393,23.91716422,1827.177089,
Well_no_7,6725,8025,3061.15,0.14114,,7161335.666,Shaly sandstone,2.281723843,2414.325734,21.17362372,,
Well_no_7,6725,8025,3061.65,0.13778,,7361855.544,,2.43109519,3107.646819,23.34338045,1639.209308,6.112602517
Well_no_7,6725,8025,3062.15,0.13442,,,Sandstone,1.623967229,,33.65765611,1595.710172,5.514461401
Well_no_7,6725,8025,3062.65,0.14211,109.9447811,7216039.31,Sandstone,2.261106507,2992.076901,21.27107239,1515.748247,7.510667926
Well_no_7,6725,8025,3063.15,0.14245,,7305975.477,Sandstone,,3172.689168,26.71375274,1747.623631,4.742892613
Well_no_8,3975,8675,3053.33,0.13435,,7223095.935,Shaly sandstone,1.985633938,,,1714.383076,3.90226329
Well_no_8,3975,8675,3053.83,,73.03729848,7506414.966,Shaly sandstone,,4082.351013,,1685.331793,
Well_no_8,3975,8675,3054.33,,,7301463.036,Sandstone,1.878934268,,31.93072654,1685.664552,
Well_no_8,3975,8675,3054.83,,59.0239012,7476620.33,Sandstone,2.396325924,3772.528839,22.28733007,1609.868913,5.927733256
Well_no_8,3975,8675,3055.33,0.07356,22.89367763,7327600.48,,3.070687145,2681.568879,19.15829739,1658.785062,8.990189111
Well_no_8,3975,8675,3055.83,,67.52786119,7725057.287,Sandy shale,2.516292145,3071.55754,24.86402623,,7.201809829
Well_no_8,3975,8675,3056.33,0.12987,,7387077.803,Shaly sandstone,1.774023887,3975.984512,,1659.2856,4.887344076
Well_no_8,3975,8675,3056.83,0.13777,,,,2.18984327,3249.16968,,1703.391012,7.186915547
Well_no_8,3975,8675,3057.33,0.13593,,7241143.504,Sandstone,2.106568277,,23.36523289,1563.613356,4.71653287
Well_no_8,3975,8675,3057.83,0.14679,154.2133349,7189737.104,Sandstone,,4896.518942,34.26139882,1713.532053,4.513683718
Well_no_8,3975,8675,3058.33,0.14667,128.1662763,7123045.73,Sandstone,2.18032303,3287.830957,20.1406914,1608.447762,5.66355234
Well_no_8,3975,8675,3058.83,0.07006,,7708360.386,Sandy shale,3.244659654,2098.69693,17.14405831,1640.569767,9.378819999
Well_no_8,3975,8675,3059.33,0.07047,58.00375867,7789466.125,Sandy shale,3.357368598,,17.45716032,1650.4331,9.912610823
Well_no_8,3975,8675,3059.83,0.13385,,7435831.35,Shaly sandstone,1.60380045,4479.679524,33.56814549,1651.460852,4.969850368
Well_no_8,3975,8675,3060.33,0.14032,,,Sandstone,2.029005068,3379.754192,23.61121469,1779.37384,5.670528497
Well_no_8,3975,8675,3060.83,0.14192,155.6995567,7372128.104,Sandstone,1.707036323,4897.504842,30.01054771,1759.709621,4.531117635
Well_no_8,3975,8675,3061.33,0.14965,,7234865.159,Sandstone,,3544.020146,28.76765765,1649.703997,7.601314303
Well_no_8,3975,8675,3061.83,,,7124545.322,Sandstone,2.440515654,3243.856873,23.32231611,,5.994426122
Well_no_8,3975,8675,3062.33,0.15252,,7092311.93,Sandstone,2.033810302,3681.599853,24.84885025,1637.55999,4.970460777
Well_no_8,3975,8675,3062.83,0.15494,,7244722.317,Sandstone,1.830852072,4016.366211,22.23946771,,5.350788755
Well_no_9,5625,5475,3046.05,0.16404,,7000135.432,Sandstone,2.258512491,2654.126575,23.72363544,1640.578999,
Well_no_9,5625,5475,3046.55,,,7823794.694,Sandy shale,2.601578695,3208.012622,23.6414269,1669.863524,7.491288181
Well_no_9,5625,5475,3047.05,0.06915,,7641568.209,,2.726198052,3237.331625,21.75040443,,7.516060488
Well_no_9,5625,5475,3047.55,0.13929,,7253141.318,,2.012060221,3414.74249,24.37938036,1640.563583,6.076802564
Well_no_9,5625,5475,3048.05,0.14396,,7028231.907,,1.647706374,4050.807983,29.24540543,1788.39825,6.432307557
Well_no_9,5625,5475,3048.55,0.14151,,7366514.356,Sandstone,2.099062731,3713.471302,24.08099132,1694.425044,5.446320625
Well_no_9,5625,5475,3049.05,0.14476,119.0190136,7273174.568,Sandstone,,4310.097008,28.72397389,,
Well_no_9,5625,5475,3049.55,0.14945,,7179971.814,Sandstone,2.038168312,3211.139491,,1670.347726,6.532307882
Well_no_9,5625,5475,3050.05,0.15069,,,Sandstone,2.065302803,,22.18362819,1728.671681,6.974407662
Well_no_9,5625,5475,3050.55,0.15455,,6979919.829,Sandstone,2.094065705,3502.228341,23.81933803,,5.653938284
Well_no_9,5625,5475,3051.05,0.15634,150.2045254,,Sandstone,1.995702008,3717.717511,22.30588331,1724.771767,7.258028562
Well_no_9,5625,5475,3051.55,0.06627,44.75238193,8123147.467,Sandy shale,2.818450854,2698.77802,25.84470372,1792.594015,7.467295194
Well_no_9,5625,5475,3052.05,0.06625,,7721192.387,Sandy shale,2.910179834,2509.33553,,1813.473237,8.258069442
Well_no_9,5625,5475,3052.55,,,7520850.62,Shaly sandstone,1.849706955,3823.440236,25.23156834,1886.289073,6.222301303
Well_no_9,5625,5475,3053.05,0.1301,94.82285045,7168363.246,Shaly sandstone,2.023177951,3504.850264,27.59331712,1685.114499,6.050963805
Well_no_9,5625,5475,3053.55,0.13669,,,Sandstone,2.117170915,3560.915899,28.37355749,,6.08172761
Well_no_9,5625,5475,3054.05,0.15113,81.70979899,7243360.957,Sandstone,,4327.923743,31.39823619,1630.441892,4.622148025
Well_no_9,5625,5475,3054.55,0.14803,,6945197.863,Sandstone,1.510030087,4571.841512,32.42849869,1585.198861,5.343468149
Well_no_9,5625,5475,3055.05,0.15546,,7090436.84,Sandstone,1.623214313,,27.62832671,1624.245258,5.214218891
Well_no_9,5625,5475,3055.55,0.15467,,6995755.342,Sandstone,2.380406254,,,1755.527783,5.311133111
Well_no_10,3725,1575,3053.07,0.15539,,7289440.001,Sandstone,1.579993533,4329.017661,30.21056119,1682.746134,
Well_no_10,3725,1575,3053.57,0.04926,,8077466.412,Shale,1.576394958,5221.61119,37.78457802,,5.035477117
Well_no_10,3725,1575,3054.07,0.12083,65.54799243,7388753.32,Shaly sandstone,1.631842634,4132.474213,33.96500695,1560.599407,5.315676753
Well_no_10,3725,1575,3054.57,0.1253,44.91888283,7154431.124,Shaly sandstone,2.204193167,3216.297111,26.58261477,1718.504854,6.054202414
Well_no_10,3725,1575,3055.07,0.12506,,7257802.822,Shaly sandstone,,4067.024202,26.78110954,1599.765268,3.174202815
Well_no_10,3725,1575,3055.57,0.1364,,7403188.322,Shaly sandstone,1.74362554,4139.598078,,1725.947236,
Well_no_10,3725,1575,3056.07,0.13752,,7135962.347,,1.905530099,3727.63135,,1607.349648,6.259290495
Well_no_10,3725,1575,3056.57,0.1452,,7102947.459,Sandstone,1.935805342,3589.546977,27.61282786,1785.425371,5.230998202
Well_no_10,3725,1575,3057.07,0.14702,,7364394.615,,2.205743443,2857.812764,,,7.944754847
Well_no_10,3725,1575,3057.57,0.0565,,7868644.403,Shale,,5134.058353,,1586.963769,4.86439053
Well_no_10,3725,1575,3058.07,0.06131,,7799643.588,Shale,1.929682873,3780.005105,32.1363652,1611.406533,4.799019509
Well_no_10,3725,1575,3058.57,0.09764,,7697342.976,Shaly sandstone,2.036602559,,27.4086263,1677.964894,4.413492145
Well_no_10,3725,1575,3059.07,0.10761,,7713644.96,Shaly sandstone,2.178200471,4343.815633,25.55026825,1647.825008,8.184053139
Well_no_10,3725,1575,3059.57,0.05572,,,Shale,1.97219058,4109.102351,32.85840889,1624.890465,6.429020001
Well_no_10,3725,1575,3060.07,0.11676,,7589537.998,Shaly sandstone,,4305.603827,29.72011141,1743.891956,5.697939368
Well_no_10,3725,1575,3060.57,0.11779,,7635445.617,Shaly sandstone,1.794291657,,33.61263653,,5.998215011
Well_no_10,3725,1575,3061.07,0.12124,60.15191864,7537669.264,Shaly sandstone,1.598750326,4166.648239,35.77036172,1645.228266,5.78609988
Well_no_10,3725,1575,3061.57,,,,Shaly sandstone,1.51553519,4287.735989,37.6004711,1602.732454,5.486771994
Well_no_10,3725,1575,3062.07,0.13252,,7202105.725,Shaly sandstone,1.790344069,3609.395784,33.0386564,1759.045692,5.81090911
Well_no_10,3725,1575,3062.57,0.13135,93.64753124,,Shaly sandstone,1.893591587,3759.514933,29.15329289,1559.423846,5.689461095
Well_no_11,4275,5675,3045.72,0.07135,,7923543.039,Sandy shale,2.640465276,2667.491989,,1642.580629,
Well_no_11,4275,5675,3046.22,0.13012,,7441768.459,Shaly sandstone,2.054240701,3075.411216,26.6552057,1709.669255,6.013404954
Well_no_11,4275,5675,3046.72,0.13078,,7343890.986,Shaly sandstone,,3244.974146,24.08227628,1646.827635,7.150602618
Well_no_11,4275,5675,3047.22,0.13817,,7040999.947,Shaly sandstone,1.87816078,3620.92201,29.13003975,1673.154605,5.497992921
Well_no_11,4275,5675,3047.72,,,,Sandstone,2.150686579,3722.496735,,1728.411497,7.109814824
Well_no_11,4275,5675,3048.22,0.14053,,7246131.437,Sandstone,2.387918449,2902.73484,24.64527901,1552.069161,5.316166528
Well_no_11,4275,5675,3048.72,0.14362,123.2384827,7135484.266,Sandstone,1.637274721,4962.488996,,1806.765511,5.231902909
Well_no_11,4275,5675,3049.22,0.14668,,7258341.736,Sandstone,2.018447723,3381.518364,30.36739035,1555.415309,4.867160821
Well_no_11,4275,5675,3049.72,0.15263,,6904637.276,Sandstone,,3647.904015,23.91237112,1623.071154,4.662231357
Well_no_11,4275,5675,3050.22,0.07008,12.62710473,7722123.988,Sandy shale,,2767.669334,18.57380842,1753.810321,9.478483137
Well_no_11,4275,5675,3050.72,0.12116,89.10073536,7177936.78,Shaly sandstone,1.637196277,4689.946975,30.73441261,1601.684627,4.945779007
Well_no_11,4275,5675,3051.22,0.12924,,7338299.021,Shaly sandstone,1.685619051,4243.089997,32.7815425,1802.675053,3.818947931
Well_no_11,4275,5675,3051.72,0.13414,,7323936.57,Shaly sandstone,,3460.970612,25.00298143,1690.737984,6.337933018
Well_no_11,4275,5675,3052.22,0.14255,,7388885.829,Shaly sandstone,2.005677618,3873.309656,23.82497872,1773.262156,6.006759746
Well_no_11,4275,5675,3052.72,0.0737,,7849468.335,Sandy shale,3.050823438,2532.626174,24.12173635,1558.585089,10.08192117
Well_no_11,4275,5675,3053.22,,,7094202.407,Shaly sandstone,1.880299533,3648.431235,26.27598729,1725.00268,4.626355565
Well_no_11,4275,5675,3053.72,0.14177,,,Sandstone,2.301265727,3532.371674,21.93656913,1987.33791,6.956339546
Well_no_11,4275,5675,3054.22,0.14581,,7176041.378,Sandstone,,3768.805382,26.10610287,1677.311618,5.915055679
