Well,Por,Perm,AI,Brittle,TOC,VR,Prod
77,17.2,6.36,2.26,48.84,1.47,1.9,5717.029936
78,10.49,1.62,3.77,52.31,0.46,2.37,2221.596264
79,13.53,4.53,2.31,67.51,0.8,1.67,2713.853649
80,18.04,3.90,2.47,57.53,1.15,2.01,5772.51098
81,14.97,2.75,2.87,54.85,1.17,2.2,4190.906321
82,16.18,4.01,3.04,41.4,1.22,2.01,4612.730948
83,15.07,3.39,3.39,56.7,0.38,1.88,4049.133206
84,13.69,3.86,3.51,69.53,0.6,2.04,2622.001003
85,10.15,1.72,2.97,40.51,0.59,1.76,1934.911796
86,13.45,2.51,3.25,58.3,1.04,2.33,3286.022718
87,15.94,3.82,3.81,37.13,1.36,2.43,4106.811499
88,14.88,4.81,3.3,63.31,0.95,2.03,3561.623164
89,11.12,1.88,3.09,58.97,0.52,1.85,2290.074381
90,13.5,2.66,3.94,36.68,1.17,2.6,3002.448881
91,13.72,4.01,3.41,40.24,0.84,2.18,3314.008251
92,7.38,1.88,2.54,42.24,0.38,1.28,1083.997243
93,20.21,8.33,2.5,23.78,1.47,1.82,4340.321678
94,10.69,2.66,3.49,84.33,0.39,1.97,1313.580022
95,15.75,3.60,2.82,70.68,0.95,2.04,3246.842395
96,17.96,4.26,2.87,49.41,0.92,2.01,6073.667303
97,16.95,4.14,2.3,61.43,1.47,2.05,4782.524323
98,19.73,7.85,2.63,49.91,1.59,2.11,7671.102916
99,11.91,4.48,2.27,47.38,0.84,1.57,2841.106204
100,15.53,5.42,2.64,64.49,1.55,2.1,3797.854774
101,14.44,2.92,2.34,68.76,0.98,1.97,2939.373219
102,13.37,4.66,3.04,52.23,0.86,1.72,3482.221551
103,10.5,3.22,3.69,61.09,0.45,2.17,2000.189228
104,18.9,4.57,2.65,18.63,1.06,1.54,3463.971339
105,17.89,4.22,1.86,34.13,1.75,1.62,4744.155956
106,15.32,3.71,3.29,55.99,1.35,2.42,4358.662609
107,13.48,2.61,2.93,55.3,0.5,1.7,3384.908522
108,17.17,3.82,2.35,38.08,1.43,1.97,4830.54738
109,20.86,6.30,2.53,40.57,2.08,2.43,7865.496173
110,15.19,5.05,3.11,57.97,1.15,2.16,4152.714512
111,14.95,3.29,2.69,75.73,0.58,1.8,2635.017852
112,12.1,5.10,3.97,63.24,0.38,1.93,2457.10448
113,18.24,4.31,2.85,44.53,1.39,2.06,6153.991131
114,19.86,6.82,2.77,45.44,1.33,2.08,7479.838025
115,19.54,5.93,3.23,37.4,0.82,1.8,6024.335491
116,18.37,4.95,2.45,42.26,1.4,2.06,6043.934192
117,12.89,4.26,4.09,66.21,0.81,2.77,2577.89621
118,15.2,3.49,3.2,42.63,1.52,2.23,4231.240824
119,12.23,2.39,3.02,40.67,1.02,1.84,2732.976567
120,17.88,5.58,3.2,49.61,1.23,2.37,6117.309423
121,15.79,4.22,3.01,63.24,0.48,2.07,3906.15734
122,12.38,2.48,2.63,33.48,1.17,1.73,2395.213215
123,18.98,9.78,2.69,46.4,1.11,1.67,6832.601393
124,13.76,3.86,3.46,52.36,0.5,1.89,3610.669468
125,23.55,8.25,1.28,14.24,2.18,1.24,4537.450554
126,14.86,3.90,2.64,60.5,1.33,1.95,3817.101002
127,16.43,5.99,2.62,35.5,1.13,1.72,4159.31856
128,15.86,2.94,2.74,51.49,1.62,2.15,4855.465353
129,12.98,5.26,3.25,60.51,0.93,1.98,2985.345079
130,17.21,4.62,2.79,20.12,1.52,1.93,3087.066942
131,15.34,3.06,2.11,50.65,1.17,1.71,4503.730218
132,17.57,4.44,2.3,44.57,1.46,1.98,5730.296039
133,10.74,1.72,3.33,62.94,0.31,1.89,1979.073347
134,18.79,4.48,3.57,35.74,0.93,2.3,5325.67512
135,12.83,2.69,3.67,17.2,0.61,2.01,1844.590046
136,15.35,4.66,3.07,26.63,1.53,2.05,2943.562745
137,14.88,5.16,3.47,51.29,0.38,1.77,4170.037252
138,14.69,3.63,2.39,62.93,1.04,1.93,3510.43345
139,7.77,1.48,2.8,40.24,0.37,1.43,1151.574538
140,15.87,6.82,3.2,32.82,0.58,1.64,3597.937545
141,18.75,5.16,1.45,58.05,1.37,1.55,6259.644052
142,15.63,4.66,2.85,40.83,0.84,1.7,4234.653775
143,18.06,8.00,2.6,56.29,1.64,2.18,6076.521717
144,12.05,2.36,3.21,42.36,0.5,1.77,2697.715316
145,14.44,4.53,2.81,65.32,1.16,1.93,3236.108888
146,16.69,5.05,3.44,36.22,1.48,2.52,4396.485807
147,15.8,2.72,3.29,42.13,0.43,1.97,4332.565278
148,16.84,5.10,3.16,60.43,1.6,2.6,4866.019477
149,13.46,4.57,3.04,56.59,0.1,1.53,3304.287839
150,14.63,7.10,3.02,21.47,1.26,1.79,2441.362701
151,12.2,2.92,3.36,28.87,0.82,1.69,2075.032467
152,10.5,2.56,3.11,54.54,0.45,1.82,2205.747231
153,18.68,6.17,2.5,43.35,1.66,1.87,6454.680727
154,16.88,6.62,2.45,65.82,0.63,1.5,4162.716676
155,15.42,4.06,2.8,18.98,1.5,1.93,2553.452427
156,13.01,3.60,2.38,50.41,0.48,1.55,3287.383667
157,17.92,5.37,2.3,57.84,1.33,1.92,5729.988012
158,15.97,3.19,2.63,52.55,1.41,2.09,4863.070033
159,13.32,3.19,2.45,57.86,1.05,1.74,3265.739231
160,18.1,9.58,3.34,56.09,1.02,2.15,5993.918258
161,16.21,4.01,2.77,59.83,1.21,2.32,4515.872469
162,18,5.58,1.71,28.46,1.74,1.49,4065.46508
163,17.86,6.96,2.5,26.22,0.28,0.93,3683.597361
164,11.6,1.73,2.18,53.54,0.6,1.5,2642.806335
165,17.98,4.26,2.94,25.17,0.9,1.86,3653.371799
166,16.61,3.49,1.83,60.13,1.54,1.86,4736.868844
167,19.06,9.49,3.2,55.53,1.57,2.39,6862.820159
168,12.83,3.56,3.15,29.87,1.09,2.09,2333.784963
169,18.96,5.81,2.17,29.28,1.58,1.95,4556.184142
170,11.71,1.88,4.01,44.03,0.04,1.84,2581.070967
171,11.91,5.42,3.83,28.94,0.38,1.78,1988.596243
172,17.44,5.70,3.44,57.33,1.33,2.38,5483.878273
173,10.95,2.23,3.67,47.06,0.12,1.93,2371.721609
174,12.94,2.64,2.88,38.29,1.25,1.94,2899.214847
175,15.72,3.78,2.51,35.09,1.42,1.95,3813.169169
176,14.02,4.48,3.01,62.59,1.04,2.16,3268.828721
177,14.49,4.85,3,22.54,1.08,1.99,2442.094088
178,11.8,2.92,3.64,35.35,0.35,1.76,2263.803777
179,19.29,5.00,2.82,58.56,1.23,1.97,6531.973105
180,7.22,1.42,3.6,63.09,-0.03,1.67,891.4526978
181,15.7,3.00,3.41,46.86,0.14,1.93,4484.928176
182,14.48,3.82,3.56,47.44,0.67,2.11,3970.769808
183,9.88,2.72,3.64,55.19,0.52,2.16,1972.763685
184,18.8,6.05,3.23,74.07,1.66,2.54,4073.433647
185,18.07,3.78,2.89,28.67,1.52,2.1,4087.611732
186,15.68,5.37,3.77,57.85,0.72,2.35,4354.473023
187,15.28,3.49,2.29,34.78,1.28,1.61,3581.187282
188,10.88,3.32,4.09,55.09,0.81,2.4,2367.71562
189,16.14,5.05,3.16,38.03,0.97,2.05,4256.566703
190,16.12,4.10,2.42,35.84,1.48,1.84,4075.219934
191,13.52,3.86,3.45,31.57,1.51,2.22,2685.799399
192,6.55,1.13,4.13,56.69,0.28,2.1,839.8220626
193,20.37,6.69,2.37,37.76,1.4,1.99,6774.728279
194,12.92,3.90,3.68,71.4,0.11,1.91,2253.251527
195,17.13,5.99,2.88,51.45,1.77,2.28,5726.071238
196,11.95,3.13,2.97,67.18,0.8,2.06,2203.839738
197,17.99,9.87,3.38,44.32,0.98,2.08,5949.843842
198,12.12,2.27,3.52,57.07,-0.04,1.73,2701.389046
199,15.55,4.48,2.48,58.25,1.89,2.35,4415.829234
200,20.89,7.54,3.23,46.17,1.71,2.27,8590.384044
